update,mean_train_u_ctrl,method,update_seconds,trajectories_sampled,policy_entropy,validation_mean_u_ctrl,validation_n_unique_sequences,validation_sequence_entropy,validation_unique_frac,validation_checkpoint_score,validation_meets_unique_floor
671,0.11250000000000002,RL-sBOED,0.6327834129333496,42944,3.8652005195617676,,,,,,
672,0.106171875,RL-sBOED,0.6179971694946289,43008,3.8733551502227783,,,,,,
673,0.10898437500000001,RL-sBOED,0.6197161674499512,43072,3.8621814250946045,,,,,,
674,0.10863281250000001,RL-sBOED,0.6225795745849609,43136,3.87402081489563,,,,,,
675,0.10898437500000001,RL-sBOED,0.6171875,43200,3.881725311279297,0.10265625000000002,16,1.8925692088379333,0.125,0.10265625000000002,0
676,0.108984375,RL-sBOED,0.6154689788818359,43264,3.8641183376312256,,,,,,
677,0.106171875,RL-sBOED,0.6184513568878174,43328,3.877178192138672,,,,,,
678,0.1051171875,RL-sBOED,0.6173639297485352,43392,3.861525058746338,,,,,,
679,0.1044140625,RL-sBOED,0.6218347549438477,43456,3.8470852375030518,,,,,,
680,0.104765625,RL-sBOED,0.618396520614624,43520,3.8719425201416016,,,,,,
681,0.1058203125,RL-sBOED,0.6183867454528809,43584,3.8738229274749756,,,,,,
682,0.1100390625,RL-sBOED,0.6183652877807617,43648,3.8394508361816406,,,,,,
683,0.107578125,RL-sBOED,0.6176900863647461,43712,3.845947027206421,,,,,,
684,0.09632812500000001,RL-sBOED,0.6201732158660889,43776,3.8448147773742676,,,,,,
685,0.09949218750000001,RL-sBOED,0.6199235916137695,43840,3.850648880004883,,,,,,
686,0.1135546875,RL-sBOED,0.6190330982208252,43904,3.8453617095947266,,,,,,
687,0.10019531250000001,RL-sBOED,0.61838698387146,43968,3.8472468852996826,,,,,,
688,0.107578125,RL-sBOED,0.6215076446533203,44032,3.8785603046417236,,,,,,
689,0.1128515625,RL-sBOED,0.6208798885345459,44096,3.8737900257110596,,,,,,
690,0.1121484375,RL-sBOED,0.6182820796966553,44160,3.8644237518310547,,,,,,
691,0.10265624999999999,RL-sBOED,0.6177170276641846,44224,3.8630051612854004,,,,,,
692,0.1037109375,RL-sBOED,0.6182682514190674,44288,3.8488826751708984,,,,,,
693,0.1121484375,RL-sBOED,0.6211864948272705,44352,3.8542916774749756,,,,,,
694,0.09984375000000001,RL-sBOED,0.6243524551391602,44416,3.8728299140930176,,,,,,
695,0.1107421875,RL-sBOED,0.6209738254547119,44480,3.8622519969940186,,,,,,
696,0.10828125000000001,RL-sBOED,0.6198198795318604,44544,3.865156650543213,,,,,,
697,0.1107421875,RL-sBOED,0.6184864044189453,44608,3.8801498413085938,,,,,,
698,0.107578125,RL-sBOED,0.621957540512085,44672,3.870943069458008,,,,,,
699,0.1065234375,RL-sBOED,0.623206377029419,44736,3.8750743865966797,,,,,,
700,0.113203125,RL-sBOED,0.6238281726837158,44800,3.859886646270752,0.10265625000000002,19,1.8244968247037532,0.1484375,0.10265625000000002,0
