system,sequence,xi1,xi2,xi3,mean_u_ctrl,std_u_ctrl,mean_u_raw,std_u_raw,n_eval
ieee5,13 1 5,13,1,5,0.85,0.1264911064067352,0.8487500000000001,0.14382606683073826,80.0
ieee5,2 8 6,2,8,6,0.85,0.130384048104053,0.8487499999999999,0.14641016870422624,80.0
ieee5,10 16 23,10,16,23,0.8487500000000001,0.13037805605238945,0.8474999999999999,0.1472455432262722,80.0
ieee5,19 15 13,19,15,13,0.8474999999999999,0.13036007824483692,0.8462499999999998,0.14721901201950782,80.0
ieee5,8 23 25,8,23,25,0.88375,0.11558952158392213,0.8800000000000001,0.131005725065739,80.0
ieee5,10 9 11,10,9,11,0.85125,0.13037805605238945,0.8481249999999999,0.146936157480043,80.0
ieee5,7 16 8,7,16,8,0.8525000000000003,0.13036007824483692,0.8506250000000002,0.14630741394406502,80.0
ieee5,6 4 9,6,4,9,0.85625,0.1202536381986009,0.8543750000000001,0.13833694146900888,80.0
ieee5,25 28 2,25,28,2,0.8600000000000001,0.12903487900563942,0.8574999999999999,0.144719556384063,80.0
ieee5,28 6 16,28,6,16,0.8612500000000001,0.12092740590949598,0.859375,0.1376348770297703,80.0
ieee5,27 28 10,27,28,10,0.8625,0.1297834735241741,0.8600000000000001,0.14543039572248984,80.0
ieee5,12 2 19,12,2,19,0.8774999999999998,0.1378178145233772,0.885,0.16170961628796224,80.0
ieee5,29 9 17,29,9,17,0.8825,0.13112494041943357,0.891875,0.15760784997899052,80.0
ieee5,18 1 29,18,1,29,0.85,0.12942179105544788,0.8481249999999999,0.1458688944737705,80.0
ieee5,15 7 5,15,7,5,0.8925000000000001,0.13016816046944812,0.9143749999999999,0.1675547951417684,80.0
ieee5,1 18 3,1,18,3,0.8637499999999999,0.11962833067463578,0.8612500000000001,0.13783481962116828,80.0
ieee5,8 19 14,8,19,14,0.8662500000000002,0.12936745147060755,0.8650000000000002,0.14564511663629504,80.0
ieee5,20 25 12,20,25,12,0.8975,0.12547410091329605,0.9075,0.15147194459701105,80.0
ieee5,2 27 5,2,27,5,0.8925000000000001,0.13395428324618816,0.9106249999999999,0.162729405378991,80.0
ieee5,13 24 2,13,24,2,0.85,0.13133925536563698,0.8487500000000001,0.14810785765785686,80.0
ieee5,28 25 7,28,25,7,0.85625,0.12927079136448422,0.85375,0.14572555541153373,80.0
ieee5,17 10 8,17,10,8,0.86,0.13095800853708794,0.8574999999999999,0.1468630314272451,80.0
ieee5,29 24 1,29,24,1,0.8574999999999999,0.12018215341721915,0.8556250000000001,0.13829175454451356,80.0
ieee5,7 24 16,7,24,16,0.8487500000000001,0.12844624361965593,0.8474999999999999,0.14553779577827883,80.0
ieee5,25 16 14,25,16,14,0.85,0.130384048104053,0.8481249999999999,0.14714868118675067,80.0
ieee5,14 3 7,14,3,7,0.8549999999999999,0.13124404748406687,0.85375,0.14679386056644192,80.0
ieee5,27 5 22,27,5,22,0.8975,0.13414078425296314,0.905,0.15443445211480497,80.0
ieee5,1 13 27,1,13,27,0.8512500000000001,0.13037805605238945,0.85,0.14641550464346317,80.0
ieee5,26 29 11,26,29,11,0.8574999999999999,0.12018215341721915,0.8543749999999999,0.1385626550517851,80.0
ieee5,23 13 15,23,13,15,0.8787500000000001,0.12009761654587489,0.8768750000000001,0.13577180994227037,80.0
ieee5,7 9 0,7,9,0,0.8700000000000001,0.13266499161421602,0.874375,0.1553209881986333,80.0
