update,mean_train_u_ctrl,mean_train_control_cost,method,update_seconds,trajectories_sampled,policy_entropy,validation_mean_u_ctrl,validation_n_unique_sequences,validation_sequence_entropy,validation_unique_frac,validation_under_control_rate,validation_valid,validation_mean_shortfall,validation_checkpoint_score,validation_meets_unique_floor
105,0.27,0.27,DAD,0.43048715591430664,6720,3.3208932876586914,,,,,,,,,
106,0.27,0.27,DAD,0.4305450916290283,6784,3.3208723068237305,,,,,,,,,
107,0.27,0.27,DAD,0.43053412437438965,6848,3.320957660675049,,,,,,,,,
108,0.27,0.27,DAD,0.43007826805114746,6912,3.32009220123291,,,,,,,,,
109,0.27,0.27,DAD,0.43067002296447754,6976,3.3203964233398438,,,,,,,,,
110,0.27,0.27,DAD,0.430142879486084,7040,3.3204946517944336,,,,,,,,,
111,0.27,0.27,DAD,0.43152427673339844,7104,3.32102108001709,,,,,,,,,
112,0.27,0.27,DAD,0.4306352138519287,7168,3.3218369483947754,,,,,,,,,
113,0.27,0.27,DAD,0.4310173988342285,7232,3.3209965229034424,,,,,,,,,
114,0.27,0.27,DAD,0.43021655082702637,7296,3.321096897125244,,,,,,,,,
115,0.27,0.27,DAD,0.4303767681121826,7360,3.320627212524414,,,,,,,,,
116,0.27,0.27,DAD,0.4308037757873535,7424,3.3215537071228027,,,,,,,,,
117,0.27,0.27,DAD,0.43062829971313477,7488,3.3215487003326416,,,,,,,,,
118,0.27,0.27,DAD,0.43182921409606934,7552,3.3214690685272217,,,,,,,,,
119,0.27,0.27,DAD,0.43070292472839355,7616,3.322082757949829,,,,,,,,,
120,0.27,0.27,DAD,0.4308333396911621,7680,3.3211464881896973,,,,,,,,,
121,0.27,0.27,DAD,0.4310770034790039,7744,3.3218257427215576,,,,,,,,,
122,0.27,0.27,DAD,0.43054890632629395,7808,3.3218994140625,,,,,,,,,
123,0.27,0.27,DAD,0.43015003204345703,7872,3.3223438262939453,,,,,,,,,
124,0.27,0.27,DAD,0.4307434558868408,7936,3.322463274002075,,,,,,,,,
