rollout_id,theta_test_id,sequence,y_obs,u_ctrl_prior,u_ctrl_final,u_req_true,posterior_mean_U,excess_control,safe_total,changed,reduced,increased
441,15,24 22,2.5990579 1.2731665,1.0,1.0,0.2,0.531641300766206,0.8,True,False,False,False
442,5,29 15,2.4625196 1.63662,1.0,1.0,0.25,0.39998093691486175,0.75,True,False,False,False
443,7,5 13,1.2569298 4.67637,1.0,1.0,0.6,0.21502382326081448,0.4,True,False,False,False
444,0,25 19,1.9418616 3.950681,1.0,0.9,0.1,0.32732487257793713,0.8,True,True,True,False
445,2,18 15,3.6196115 1.3821689,1.0,0.9,0.3,0.2779429959345483,0.6000000000000001,True,True,True,False
446,0,0 6,1.4852262 1.4425919,1.0,0.7,0.1,0.06327319063897881,0.6,True,True,True,False
447,8,2 10,1.3017906 1.5122742,1.0,1.0,0.1,0.4510631007277273,0.9,True,False,False,False
448,13,21 7,2.4799095 1.163771,1.0,1.0,0.45,0.4176063272421964,0.55,True,False,False,False
449,9,20 0,1.9107165 1.8131164,1.0,1.0,0.35,0.27825165135839286,0.65,True,False,False,False
450,2,1 9,2.1488665 4.2125224,1.0,0.8,0.3,0.2503722285399218,0.5,True,True,True,False
451,11,17 18,1.1147927 3.2499287,1.0,1.0,0.1,0.3743576496471445,0.9,True,False,False,False
452,14,24 9,3.2310799 3.1397347,1.0,1.0,0.3,0.2525922614685049,0.7,True,False,False,False
453,5,19 1,2.3956947 2.1723212,1.0,0.9,0.25,0.2628836917536827,0.65,True,True,True,False
454,9,2 11,1.2696638 2.1395315,1.0,0.9,0.35,0.3098498661290201,0.55,True,True,True,False
455,5,17 23,2.5625881 6.8008904,1.0,0.6,0.25,0.050001000940651096,0.35,True,True,True,False
456,6,10 28,1.4716455 3.6034595,1.0,1.0,0.6,0.4041647851184494,0.4,True,False,False,False
457,9,0 22,1.7533745 1.5253392,1.0,1.0,0.35,0.3109453090926272,0.65,True,False,False,False
458,12,2 3,1.1234041 3.7069952,1.0,1.0,0.6,0.29610481615444295,0.4,True,False,False,False
459,4,25 5,1.4359912 1.1164173,1.0,1.0,0.4,0.29652633962379515,0.6,True,False,False,False
460,6,24 29,2.972706 3.1460618,1.0,1.0,0.6,0.28150004559593406,0.4,True,False,False,False
461,2,25 8,1.6170824 3.510214,1.0,0.9,0.3,0.27930493544810353,0.6000000000000001,True,True,True,False
462,15,24 2,2.4746094 0.86197388,1.0,1.0,0.2,0.4454038800899636,0.8,True,False,False,False
463,2,12 16,2.0184593 1.9291665,1.0,0.9,0.3,0.2539242156568731,0.6000000000000001,True,True,True,False
464,8,25 22,1.8385478 1.6028411,1.0,1.0,0.1,0.42232569104892903,0.9,True,False,False,False
465,6,3 4,3.2066257 2.7093879,1.0,1.0,0.6,0.2636375036332857,0.4,True,False,False,False
466,6,24 18,3.030745 3.3809834,1.0,0.8,0.6,0.2445432818597339,0.20000000000000007,True,True,True,False
467,1,11 4,1.7382055 6.3318492,1.0,0.9,0.1,0.27230779571077474,0.8,True,True,True,False
468,13,5 4,1.8862971 2.0347457,1.0,1.0,0.45,0.14051015201207342,0.55,True,False,False,False
469,14,3 12,4.6097395 1.1425132,1.0,1.0,0.3,0.5742176026948071,0.7,True,False,False,False
470,11,10 8,2.9165067 3.1150625,1.0,0.8,0.1,0.25000535892512254,0.7000000000000001,True,True,True,False
471,13,10 0,2.034255 1.9599122,1.0,1.0,0.45,0.2804512104601476,0.55,True,False,False,False
472,8,20 18,1.6261175 6.2226501,1.0,0.9,0.1,0.3499999999999999,0.8,True,True,True,False
473,3,14 20,4.5534273 2.1477669,1.0,0.9,0.5,0.3500192096265282,0.4,True,True,True,False
474,12,22 18,1.2875738 3.8675015,1.0,1.0,0.6,0.237515539265228,0.4,True,False,False,False
475,5,0 18,1.4013403 6.5226919,1.0,0.9,0.25,0.35,0.65,True,True,True,False
476,9,28 13,7.8043468 7.2721603,1.0,0.8,0.35,0.2387724234544356,0.45000000000000007,True,True,True,False
477,1,14 20,6.5751475 2.1788898,1.0,0.8,0.1,0.25,0.7000000000000001,True,True,True,False
478,5,17 23,2.3513251 6.6634373,1.0,0.6,0.25,0.05000000000718954,0.35,True,True,True,False
479,8,29 19,2.6431362 2.5480335,1.0,1.0,0.1,0.2615287945169662,0.9,True,False,False,False
480,10,1 10,1.68351 1.4351405,1.0,0.8,0.15,0.19306248812553461,0.65,True,True,True,False
481,14,5 13,2.4130054 4.7457933,1.0,0.9,0.3,0.300000000005469,0.6000000000000001,True,True,True,False
482,6,7 15,1.3535944 1.5789553,1.0,1.0,0.6,0.44894001449768195,0.4,True,False,False,False
483,11,19 6,3.4883471 1.3839281,1.0,0.7,0.1,0.10000009945136117,0.6,True,True,True,False
484,0,16 22,1.4299373 2.8646458,1.0,0.7,0.1,0.14991785536464297,0.6,True,True,True,False
485,0,2 4,2.2660843 3.8434398,1.0,1.0,0.1,0.3248393746010003,0.9,True,False,False,False
486,11,19 23,3.486094 3.4268252,1.0,1.0,0.1,0.3577291835292626,0.9,True,False,False,False
