rollout_id,theta_true_id,true_u_req,selected_u_ctrl,recomputed_u_ctrl,under_control_amount,true_safe,posterior_ess,max_posterior_weight,posterior_mean_U,posterior_std_U,posterior_quantile_level,posterior_cdf_at_true_u_req,selected_actions,observations,true_M_values,true_K_values
512,14,0.3,0.45,0.6,-0.15000000000000002,True,2.8388532217199,0.4706045540319799,0.2907809300910569,0.13924187226624832,1.0,0.48871005299560105,13 12,4.5510903 1.1340135,0.017526242 0.034110619 0.054735793 0.031135845 0.039475103,0.48423548 0.2307363 0.18285542 0.43114927 0.10600715
513,14,0.3,0.6,0.6,-0.3,True,2.4369834978223794,0.5163038350127812,0.4855744993403085,0.1196559575773771,1.0,0.0008593415752603282,22 9,1.1250793 3.0584979,0.017526242 0.034110619 0.054735793 0.031135845 0.039475103,0.48423548 0.2307363 0.18285542 0.43114927 0.10600715
514,7,0.6,0.45,0.45,0.14999999999999997,True,1.2850328883912647,0.8766061506422751,0.4195222363872126,0.08652315380415537,1.0,1.0,24 4,6.5902003 5.7897808,0.055864885 0.011979644 0.036429463 0.032966794 0.013117479,0.10790295 0.21930733 0.23941463 0.34924291 0.25516803
515,15,0.2,0.6,0.6,-0.39999999999999997,True,3.7472945752411104,0.4262630289861604,0.33389839462188364,0.18018950240895662,1.0,0.42663541417847795,12 19,1.1074755 2.3591555,0.011224534 0.043672994 0.055954431 0.051341266 0.054276013,0.38011571 0.13452113 0.2266213 0.15435495 0.4285526
516,5,0.25,0.05,0.15,0.2,False,1.000000000004866,0.9999999999975668,0.0500000000002433,1.5598280219463978e-07,1.0,1.0,18 19,6.4712684 2.2761974,0.046239497 0.037061343 0.02384456 0.0180326 0.058496271,0.20380763 0.29465118 0.1383336 0.49826354 0.15944696
517,8,0.1,0.35,0.35,-0.24999999999999997,True,1.0000062820154882,0.9999968590021218,0.35,2.4992652239830063e-11,1.0,1.8812066154397176e-25,28 0,6.5698423 1.4494162,0.042066408 0.052631642 0.039647051 0.023004872 0.051994076,0.31393325 0.42785807 0.37691312 0.21425327 0.25177834
518,1,0.1,0.25,0.6,-0.15,True,1.3696771440413082,0.8432845254481776,0.1631306083513706,0.03712363727674099,1.0,0.017200254800802516,2 7,1.7565347 1.7997788,0.031166322 0.05138513 0.030459957 0.037479684 0.011377956,0.078223065 0.42146952 0.12402827 0.21881615 0.19253217
519,0,0.1,0.6,0.6,-0.5,True,8.851442885083717,0.16748504085611504,0.3734130457529967,0.13050255400928396,1.0,0.02831927362201718,5 10,1.5600879 1.672622,0.035591081 0.057523185 0.017207981 0.057432472 0.025591573,0.34715992 0.16049852 0.39583265 0.14525363 0.42407368
520,7,0.6,0.6,0.6,0.0,True,1.020586005836705,0.989814001821209,0.5999999999985383,4.682645027797996e-07,1.0,0.9999999999999999,11 17,3.5173042 1.4676337,0.055864885 0.011979644 0.036429463 0.032966794 0.013117479,0.10790295 0.21930733 0.23941463 0.34924291 0.25516803
521,6,0.6,0.6,0.6,0.0,True,1.1135909840392233,0.9469110294891383,0.5999998261618844,0.00016148073512663682,1.0,1.0,26 17,2.7352675 1.4644124,0.035803429 0.015793281 0.041174488 0.048834156 0.040650165,0.16559036 0.082935533 0.1660114 0.39340784 0.36405211
522,0,0.1,0.45,0.6,-0.35,True,1.2156524743555686,0.9052663855272065,0.4211754748648657,0.09090393170770303,1.0,0.047920948299189206,10 23,1.672622 3.3059818,0.035591081 0.057523185 0.017207981 0.057432472 0.025591573,0.34715992 0.16049852 0.39583265 0.14525363 0.42407368
523,6,0.6,0.3,0.6,0.3,False,2.0722037154664554,0.6198310047059794,0.25665260484378644,0.04703942595536151,1.0,1.0,18 17,3.4650438 1.4644124,0.035803429 0.015793281 0.041174488 0.048834156 0.040650165,0.16559036 0.082935533 0.1660114 0.39340784 0.36405211
524,11,0.1,0.1,0.35,0.0,True,1.0000054749966318,0.9999972625091779,0.1000005474981649,0.000330906834816267,1.0,0.9999972625091779,20 14,3.2828164 3.6238591,0.014077631 0.052761349 0.053064175 0.053826855 0.033595486,0.39167083 0.31864448 0.46296152 0.36033357 0.27516039
525,11,0.1,0.2,0.3,-0.1,True,2.06550377361053,0.6225828240660852,0.16226160233599932,0.04847493974680183,1.0,0.3773950656990666,21 29,1.451333 3.8971194,0.014077631 0.052761349 0.053064175 0.053826855 0.033595486,0.39167083 0.31864448 0.46296152 0.36033357 0.27516039
526,3,0.5,0.35,0.6,0.15000000000000002,True,1.005234624734378,0.997389854498251,0.35023288857632123,0.0051036477864214325,1.0,0.9999999999999999,24 27,4.7970452 2.1542534,0.032674894 0.016702085 0.030155649 0.020172762 0.023115667,0.23953497 0.097664557 0.33492198 0.22119092 0.37638227
527,0,0.1,0.15,0.25,-0.04999999999999999,True,1.7114028103035877,0.7492794764413534,0.06789732060436456,0.033453109853293306,1.0,0.8910883218658564,1 13,1.3582962 3.1412905,0.035591081 0.057523185 0.017207981 0.057432472 0.025591573,0.34715992 0.16049852 0.39583265 0.14525363 0.42407368
