update,mean_train_u_ctrl,mean_train_control_cost,method,update_seconds,trajectories_sampled,policy_entropy,router_entropy,expert_redundancy,max_expert_usage,residual_scale,validation_mean_u_ctrl,validation_mean_mocu,validation_n_unique_sequences,validation_sequence_entropy,validation_unique_frac,validation_under_control_rate,validation_valid,validation_mean_shortfall,validation_checkpoint_score,validation_meets_unique_floor,moe_adaptivity_constraint
852,0.14835937321186066,0.14835937321186066,MoE-sBOED,0.05100512504577637,54528,3.9566400051116943,1.3858225345611572,0.018130963668227196,0.25883418321609497,0.11239704489707947,,,,,,,,,,,
853,0.15503907203674316,0.15503907203674316,MoE-sBOED,0.05206751823425293,54592,3.9513967037200928,1.385605812072754,0.02090557850897312,0.26378780603408813,0.11246536672115326,,,,,,,,,,,
854,0.15222656726837158,0.15222656726837158,MoE-sBOED,0.05155062675476074,54656,3.943986415863037,1.385432481765747,0.026590581983327866,0.26686519384384155,0.11252640932798386,,,,,,,,,,,
855,0.15644532442092896,0.15644532442092896,MoE-sBOED,0.0522916316986084,54720,3.94226336479187,1.3854596614837646,0.02995312213897705,0.26683181524276733,0.11254803091287613,,,,,,,,,,,
856,0.15187500417232513,0.15187500417232513,MoE-sBOED,0.05175042152404785,54784,3.941926956176758,1.3854107856750488,0.03005187027156353,0.267291784286499,0.11256922036409378,,,,,,,,,,,
857,0.15644530951976776,0.15644530951976776,MoE-sBOED,0.05248260498046875,54848,3.943033218383789,1.385327696800232,0.02758103236556053,0.267873078584671,0.11257360875606537,,,,,,,,,,,
858,0.14589843153953552,0.14589843153953552,MoE-sBOED,0.05188894271850586,54912,3.944134473800659,1.3854221105575562,0.025440501049160957,0.2666398584842682,0.11260413378477097,,,,,,,,,,,
859,0.15046876668930054,0.15046876668930054,MoE-sBOED,0.05227088928222656,54976,3.946147918701172,1.385603666305542,0.02316662296652794,0.26418158411979675,0.11264064908027649,,,,,,,,,,,
860,0.1560937464237213,0.1560937464237213,MoE-sBOED,0.05224299430847168,55040,3.9484710693359375,1.3857808113098145,0.023478956893086433,0.2606540024280548,0.1126856729388237,,,,,,,,,,,
861,0.1567968726158142,0.1567968726158142,MoE-sBOED,0.05196785926818848,55104,3.9514617919921875,1.385899305343628,0.02538072131574154,0.25644323229789734,0.11271641403436661,,,,,,,,,,,
862,0.15855470299720764,0.15855470299720764,MoE-sBOED,0.05163073539733887,55168,3.954547882080078,1.3858988285064697,0.02752826362848282,0.2596924602985382,0.11272043734788895,,,,,,,,,,,
863,0.1515234410762787,0.1515234410762787,MoE-sBOED,0.05221962928771973,55232,3.9591922760009766,1.3858580589294434,0.027591364458203316,0.26133760809898376,0.11269412189722061,,,,,,,,,,,
864,0.15222656726837158,0.15222656726837158,MoE-sBOED,0.052019357681274414,55296,3.9619970321655273,1.385846495628357,0.025573696941137314,0.261672705411911,0.11262041330337524,,,,,,,,,,,
865,0.14554688334465027,0.14554688334465027,MoE-sBOED,0.05162930488586426,55360,3.9633827209472656,1.3858795166015625,0.021121766418218613,0.26117292046546936,0.1125081330537796,,,,,,,,,,,
