system,history_id,history_step,previous_actions,previous_observations,candidate_bus,candidate_amplitude,expected_continuous_objective,expected_snapped_objective,is_joint_optimal,is_bus_optimal,is_amplitude_optimal_given_bus,bus_objective_gap,history_source
ieee9,1,1,0,4.45404456,4,0.075,0.9275000000000002,0.9875,0,0,0,0.025000000000000133,objective_adaptive_value/first_history_results.csv
ieee9,1,1,0,4.45404456,5,0.075,0.9250000000000002,0.985,0,0,0,0.015000000000000124,objective_adaptive_value/first_history_results.csv
ieee9,1,1,0,4.45404456,6,0.075,0.9487500000000002,1.00875,0,0,0,0.046250000000000124,objective_adaptive_value/first_history_results.csv
ieee9,1,1,0,4.45404456,7,0.075,0.9250000000000002,0.985,0,0,0,0.022500000000000075,objective_adaptive_value/first_history_results.csv
ieee9,1,1,0,4.45404456,8,0.075,0.9262500000000001,0.98625,0,0,0,0.02375000000000005,objective_adaptive_value/first_history_results.csv
ieee9,1,1,0,4.45404456,0,0.1,0.9250000000000002,0.985,0,0,1,0.022500000000000075,objective_adaptive_value/first_history_results.csv
ieee9,1,1,0,4.45404456,1,0.1,0.9150000000000001,0.975,0,0,0,0.006250000000000089,objective_adaptive_value/first_history_results.csv
ieee9,1,1,0,4.45404456,2,0.1,0.9175000000000002,0.9775,0,0,0,0.015000000000000124,objective_adaptive_value/first_history_results.csv
ieee9,1,1,0,4.45404456,3,0.1,0.9025000000000001,0.9624999999999999,0,1,0,0.0,objective_adaptive_value/first_history_results.csv
ieee9,1,1,0,4.45404456,4,0.1,0.9275000000000002,0.9875,0,0,0,0.025000000000000133,objective_adaptive_value/first_history_results.csv
ieee9,1,1,0,4.45404456,5,0.1,0.9275000000000002,0.9875,0,0,0,0.015000000000000124,objective_adaptive_value/first_history_results.csv
ieee9,1,1,0,4.45404456,6,0.1,0.9487500000000002,1.00875,0,0,0,0.046250000000000124,objective_adaptive_value/first_history_results.csv
ieee9,1,1,0,4.45404456,7,0.1,0.9250000000000002,0.985,0,0,0,0.022500000000000075,objective_adaptive_value/first_history_results.csv
ieee9,1,1,0,4.45404456,8,0.1,0.9275000000000002,0.9875,0,0,0,0.02375000000000005,objective_adaptive_value/first_history_results.csv
ieee9,1,1,0,4.45404456,0,0.15,0.9250000000000002,0.985,0,0,0,0.022500000000000075,objective_adaptive_value/first_history_results.csv
ieee9,1,1,0,4.45404456,1,0.15,0.9125000000000001,0.9724999999999999,0,0,0,0.006250000000000089,objective_adaptive_value/first_history_results.csv
