rollout_id,theta_test_id,u_myopic,u_fixed,diff_m_minus_f,seq_myopic,seq_fixed,safe_myopic,safe_fixed
334,14,0.7,0.7,0.0,1 0,10 11,True,True
335,15,0.7,0.6,0.09999999999999998,1 29,10 11,True,True
336,0,0.6,0.5,0.09999999999999998,6 17,10 11,True,True
337,1,0.6,0.6,0.0,16 20,10 11,True,True
338,2,0.8,0.7,0.10000000000000009,21 9,10 11,True,True
339,3,1.0,1.0,0.0,1 0,10 11,True,True
340,4,0.8,0.8,0.0,1 0,10 11,True,True
341,5,0.7,0.7,0.0,16 9,10 11,True,True
342,6,1.0,1.0,0.0,1 0,10 11,True,True
343,7,1.0,1.0,0.0,1 0,10 11,True,True
344,8,0.45,0.6,-0.14999999999999997,1 18,10 11,True,True
345,9,0.7,0.7,0.0,1 3,10 11,True,True
346,10,0.7,0.7,0.0,1 0,10 11,True,True
347,11,0.5,0.6,-0.09999999999999998,1 3,10 11,True,True
348,12,1.0,1.0,0.0,1 0,10 11,True,True
349,13,0.9,0.9,0.0,1 4,10 11,True,True
350,14,0.7,0.7,0.0,16 0,10 11,True,True
351,15,0.8,0.6,0.20000000000000007,1 10,10 11,True,True
352,0,0.6,0.7,-0.09999999999999998,1 17,10 11,True,True
353,1,0.6,0.6,0.0,21 25,10 11,True,True
354,2,0.7,0.7,0.0,26 1,10 11,True,True
355,3,1.0,1.0,0.0,16 0,10 11,True,True
356,4,0.8,0.8,0.0,21 0,10 11,True,True
357,5,0.7,0.7,0.0,1 0,10 11,True,True
358,6,1.0,1.0,0.0,21 0,10 11,True,True
359,7,1.0,1.0,0.0,1 0,10 11,True,True
360,8,0.5,0.6,-0.09999999999999998,6 2,10 11,True,True
361,9,0.8,0.8,0.0,26 0,10 11,True,True
362,10,0.45,0.6,-0.14999999999999997,1 3,10 11,True,True
363,11,0.7,0.6,0.09999999999999998,21 28,10 11,True,True
364,12,1.0,1.0,0.0,1 0,10 11,True,True
365,13,0.9,0.9,0.0,1 0,10 11,True,True
366,14,0.7,0.7,0.0,21 0,10 11,True,True
367,15,0.6,0.6,0.0,1 15,10 11,True,True
368,0,0.7,0.5,0.19999999999999996,1 15,10 11,True,True
369,1,0.6,0.6,0.0,1 25,10 11,True,True
370,2,0.8,0.7,0.10000000000000009,21 14,10 11,True,True
371,3,1.0,1.0,0.0,1 0,10 11,True,True
372,4,0.9,0.8,0.09999999999999998,1 3,10 11,True,True
373,5,0.7,0.7,0.0,1 0,10 11,True,True
374,6,1.0,1.0,0.0,1 0,10 11,True,True
375,7,1.0,1.0,0.0,1 0,10 11,True,True
376,8,0.45,0.6,-0.14999999999999997,1 23,10 11,True,True
377,9,0.8,0.7,0.10000000000000009,1 2,10 11,True,True
378,10,0.6,0.7,-0.09999999999999998,1 3,10 11,True,True
379,11,0.7,0.6,0.09999999999999998,6 3,10 11,True,True
380,12,1.0,1.0,0.0,16 0,10 11,True,True
381,13,0.8,0.9,-0.09999999999999998,1 4,10 11,True,True
