update,environment,trajectories_per_batch,transitions,cumulative_trajectories,advantage_mean,advantage_std,value_loss,policy_loss,entropy,approximate_kl,clip_fraction,actor_gradient_norm,value_gradient_norm,mean_training_terminal_cost,entropy_t1,entropy_t2,validation_mean_u_ctrl,validation_std_u_ctrl,validation_median_u_ctrl,validation_q10_u_ctrl,validation_q90_u_ctrl,validation_safety,validation_dominant_sequence,validation_dominant_sequence_fraction,validation_unique_sequences,validation_sequence_entropy,validation_entropy_t1,validation_entropy_t2,best_validation_so_far
43,C0,48,96,2064,-0.015579511746764163,0.13790950307948197,0.009458818472921848,-0.02465946413576603,0.9625981450080872,0.0033620998729020357,0.02083333395421505,0.3846552073955536,0.02937568724155426,0.84375,1.2191373109817505,0.6698787808418274,,,,,,,,,,,,,
44,C0,48,96,2112,0.04678418910006685,0.1257202219468619,0.008310080505907536,-0.02962721325457096,0.8059352040290833,0.023997223004698753,0.4895833432674408,0.9209510684013367,0.08813980966806412,0.8000000000000002,1.0834466218948364,0.4951004981994629,,,,,,,,,,,,,
45,C0,48,96,2160,-0.040123785321911146,0.13141891338021675,0.008705081418156624,-0.023014619946479797,0.701694667339325,-0.013670838437974453,0.125,0.21506549417972565,0.05815941467881203,0.80625,0.9076538681983948,0.4516354501247406,,,,,,,,,,,,,
46,C0,48,96,2208,0.005166848517954375,0.12443634361824825,0.0077276211231946945,-0.009473185986280441,0.5913270115852356,0.02202947624027729,0.1770833283662796,0.5216162800788879,0.021053938195109367,0.8312500000000002,0.7396078705787659,0.41621720790863037,,,,,,,,,,,,,
47,C0,48,96,2256,0.008109797529876258,0.12866423622406614,0.008317746222019196,-0.0037346493918448687,0.5354353189468384,0.0018199477344751358,0.0,0.31860536336898804,0.0431242510676384,0.8312500000000002,0.6673018932342529,0.3892625570297241,,,,,,,,,,,,,
48,C0,48,96,2304,-0.02386782987415788,0.1391156961493635,0.009760008193552494,-0.013403289020061493,0.49809399247169495,0.006473007146269083,0.09375,0.1372789591550827,0.0707588642835617,0.8375,0.647919237613678,0.33543458580970764,,,,,,,,,,,,,
49,C0,48,96,2352,0.02384485670924189,0.12828318621927562,0.008371072821319103,-0.0041304402984678745,0.47650542855262756,0.0040208022110164165,0.03125,0.36430680751800537,0.060240935534238815,0.8375,0.6242994666099548,0.3153635859489441,,,,,,,,,,,,,
50,C0,48,96,2400,-0.03487506029009817,0.13362158358411644,0.009105735458433628,-0.011794596910476685,0.42809221148490906,-0.008822007104754448,0.02083333395421505,0.30945059657096863,0.07647451758384705,0.8625000000000002,0.512364387512207,0.31068652868270874,0.83125,0.14882351124738324,0.7,0.7,1.0,1.0,"[14, 2]",0.5555555555555556,2,0.6869615765973234,0.5128810405731201,0.26703796023502946,0.83125
51,C0,48,96,2448,0.01467974041153989,0.146957121353443,0.010355201549828053,-0.0033704962115734816,0.35866692662239075,-0.0013072724686935544,0.010416666977107525,0.6603806614875793,0.019772114232182503,0.8625000000000002,0.5079560875892639,0.21568024158477783,,,,,,,,,,,,,
52,C0,48,96,2496,0.023506550461053873,0.1294316465755839,0.008733066730201244,0.0018398364773020148,0.3757028579711914,-0.003274615155532956,0.010416666977107525,0.4995674788951874,0.0670531839132309,0.8249999999999998,0.5118919014930725,0.23475466668605804,,,,,,,,,,,,,
