update,mean_train_u_ctrl,mean_train_control_cost,method,update_seconds,trajectories_sampled,policy_entropy,router_entropy,expert_redundancy,max_expert_usage,expert_residual_scale,validation_mean_u_ctrl,validation_mean_mocu,validation_n_unique_sequences,validation_sequence_entropy,validation_unique_frac,validation_under_control_rate,validation_valid,validation_mean_shortfall,validation_checkpoint_score,validation_meets_unique_floor,moe_adaptivity_constraint
349,0.18843749165534973,0.18843749165534973,MoE-sBOED,0.057717323303222656,22336,2.722980499267578,1.384544014930725,0.0037301164120435715,0.25238507986068726,0.11998014897108078,,,,,,,,,,,
350,0.1771875023841858,0.1771875023841858,MoE-sBOED,0.0568389892578125,22400,2.676170825958252,1.3845999240875244,0.0038554128259420395,0.25288042426109314,0.12001948058605194,0.18796875000000002,0.10296875000000001,6,1.1096728838096215,0.046875,0.0546875,0,0.0025781250000000006,1000.14984375,0,diagnostic_only
351,0.19687500596046448,0.19687500596046448,MoE-sBOED,0.0555112361907959,22464,2.6615028381347656,1.3843122720718384,0.004082044120877981,0.2544533610343933,0.12004713714122772,,,,,,,,,,,
352,0.18656250834465027,0.18656250834465027,MoE-sBOED,0.05698657035827637,22528,2.6451988220214844,1.3842096328735352,0.004009001422673464,0.25873592495918274,0.12000671774148941,,,,,,,,,,,
353,0.17484375834465027,0.17484375834465027,MoE-sBOED,0.05713963508605957,22592,2.6747679710388184,1.38407564163208,0.0038027088157832623,0.26309734582901,0.11994719505310059,,,,,,,,,,,
354,0.17109376192092896,0.17109376192092896,MoE-sBOED,0.057549238204956055,22656,2.6717770099639893,1.3839269876480103,0.0035523702390491962,0.2642962634563446,0.11994313448667526,,,,,,,,,,,
355,0.1771875023841858,0.1771875023841858,MoE-sBOED,0.05742526054382324,22720,2.6311700344085693,1.383933424949646,0.0031414739787578583,0.262508749961853,0.11996794492006302,,,,,,,,,,,
356,0.18515625596046448,0.18515625596046448,MoE-sBOED,0.05796098709106445,22784,2.5071864128112793,1.383967399597168,0.002943609608337283,0.2623485028743744,0.11997111886739731,,,,,,,,,,,
357,0.1795312464237213,0.1795312464237213,MoE-sBOED,0.05752754211425781,22848,2.5624136924743652,1.3840503692626953,0.0028514424338936806,0.26518282294273376,0.11992933601140976,,,,,,,,,,,
358,0.1692187488079071,0.1692187488079071,MoE-sBOED,0.05659914016723633,22912,2.563528537750244,1.3839179277420044,0.0028972092550247908,0.26760703325271606,0.11989796161651611,,,,,,,,,,,
359,0.1954687535762787,0.1954687535762787,MoE-sBOED,0.057678937911987305,22976,2.593116521835327,1.3841657638549805,0.0028776726685464382,0.2636215090751648,0.11991489678621292,,,,,,,,,,,
360,0.19312500953674316,0.19312500953674316,MoE-sBOED,0.05808067321777344,23040,2.710186004638672,1.3845417499542236,0.0030540209263563156,0.25611746311187744,0.11995013058185577,,,,,,,,,,,
361,0.17859375476837158,0.17859375476837158,MoE-sBOED,0.0577847957611084,23104,2.6459884643554688,1.384454369544983,0.003085816977545619,0.26105156540870667,0.11998134106397629,,,,,,,,,,,
362,0.17390625178813934,0.17390625178813934,MoE-sBOED,0.057833194732666016,23168,2.61495304107666,1.384340524673462,0.0028752067591995,0.2611500024795532,0.1199737936258316,,,,,,,,,,,
363,0.1823437511920929,0.1823437511920929,MoE-sBOED,0.057154178619384766,23232,2.5818724632263184,1.3844643831253052,0.002243931870907545,0.2602904438972473,0.11996155232191086,,,,,,,,,,,
364,0.16359373927116394,0.16359373927116394,MoE-sBOED,0.056939125061035156,23296,2.670975685119629,1.3845993280410767,0.0017039771191775799,0.25655892491340637,0.11992770433425903,,,,,,,,,,,
365,0.17906251549720764,0.17906251549720764,MoE-sBOED,0.057443857192993164,23360,2.745739459991455,1.384677767753601,0.0018127374351024628,0.25302252173423767,0.11988639086484909,,,,,,,,,,,
366,0.17906250059604645,0.17906250059604645,MoE-sBOED,0.056865692138671875,23424,2.6963589191436768,1.3845057487487793,0.0018898689886555076,0.25741732120513916,0.11985409259796143,,,,,,,,,,,
367,0.19359375536441803,0.19359375536441803,MoE-sBOED,0.05687832832336426,23488,2.685826539993286,1.3841841220855713,0.0022610118612647057,0.2621646821498871,0.11983445286750793,,,,,,,,,,,
368,0.1720312535762787,0.1720312535762787,MoE-sBOED,0.05752062797546387,23552,2.552901029586792,1.3835883140563965,0.002280847867950797,0.26610422134399414,0.119828961789608,,,,,,,,,,,
369,0.17671875655651093,0.17671875655651093,MoE-sBOED,0.057897329330444336,23616,2.6342837810516357,1.3842154741287231,0.0026061299722641706,0.25972220301628113,0.11985888332128525,,,,,,,,,,,
370,0.17343750596046448,0.17343750596046448,MoE-sBOED,0.05765652656555176,23680,2.548442840576172,1.3841266632080078,0.002744381781667471,0.25619637966156006,0.11987251788377762,,,,,,,,,,,
