method,theta_test_id,rollout_id,sequence,y_obs,u_ctrl,u_req_true,excess_control,safe_total,runtime_s,exact_tie_count,near_tie_count,average_co_tied_actions
advanced_random_init_dad,3,19,"[23, 28, 24]","[7.021187337381498, 7.187072986508181, 4.7940676194982785]",0.8400000000000001,0.5,0.3400000000000001,True,0.0032245855778455733,0,0,nan
advanced_random_init_dad,4,20,"[23, 28, 24]","[3.00433042308507, 3.2714464848309093, 2.339445428643208]",0.9199999999999999,0.4,0.5199999999999999,True,0.0032226632349193094,0,0,nan
advanced_random_init_dad,5,21,"[23, 28, 24]","[6.792293607118747, 7.077510878957821, 2.4785228890177575]",0.72,0.25,0.47,True,0.0031838107854127882,0,0,nan
advanced_random_init_dad,6,22,"[23, 28, 24]","[3.5727673706487346, 3.6676341704528928, 2.901690313050675]",0.9400000000000001,0.6,0.3400000000000001,True,0.0031670384109020234,0,0,nan
advanced_random_init_dad,7,23,"[23, 28, 24]","[4.946489247394214, 5.207150161378809, 6.49134749880028]",1.0,0.6,0.4,True,0.0031547817401587964,0,0,nan
advanced_random_init_dad,8,24,"[23, 28, 24]","[6.432864465310336, 6.553328518182596, 2.687640406872222]",0.6,0.1,0.5,True,0.004375039041042328,0,0,nan
advanced_random_init_dad,9,25,"[23, 28, 24]","[7.40769068025818, 7.837395378854893, 2.6230429171546135]",0.7799999999999999,0.35,0.42999999999999994,True,0.00323928683064878,0,0,nan
advanced_random_init_dad,10,26,"[23, 28, 24]","[3.573908932955071, 3.796849282850845, 4.778469285566446]",0.8400000000000001,0.15,0.6900000000000001,True,0.003180922381579876,0,0,nan
advanced_random_init_dad,11,27,"[23, 28, 24]","[3.3911474758526974, 3.5552255419501444, 3.5920342484773045]",0.8400000000000001,0.1,0.7400000000000001,True,0.0031837990507483484,0,0,nan
advanced_random_init_dad,12,28,"[23, 28, 24]","[3.867384444985146, 3.9200613727147755, 2.4510507874382945]",0.8800000000000001,0.6,0.28000000000000014,True,0.0031880381982773544,0,0,nan
advanced_random_init_dad,13,29,"[23, 28, 24]","[3.4524229051372544, 3.5280108567650452, 2.3434243785117057]",0.9199999999999999,0.45,0.4699999999999999,True,0.003199185570701957,0,0,nan
advanced_random_init_dad,14,30,"[23, 28, 24]","[5.09146965497799, 5.238392382728442, 3.3780600517164623]",0.9,0.3,0.6000000000000001,True,0.0032258767168968916,0,0,nan
advanced_random_init_dad,15,31,"[23, 28, 24]","[3.5518384891118724, 3.6425717368641832, 2.480513980267415]",0.8,0.2,0.6000000000000001,True,0.003220802824944258,0,0,nan
advanced_random_init_dad,0,32,"[23, 28, 24]","[3.319551969135793, 3.350461552499035, 4.261172214924197]",0.86,0.1,0.76,True,0.003200725931674242,0,0,nan
advanced_random_init_dad,1,33,"[23, 28, 24]","[4.626843269226508, 4.880214557752222, 7.116645742084385]",0.8400000000000001,0.1,0.7400000000000001,True,0.0031988476403057575,0,0,nan
advanced_random_init_dad,2,34,"[23, 28, 24]","[3.739377052007658, 3.846911105821166, 4.428178574671837]",0.8800000000000001,0.3,0.5800000000000001,True,0.003234120411798358,0,0,nan
advanced_random_init_dad,3,35,"[23, 28, 24]","[6.837332488431025, 7.389690765807219, 4.7249581939380185]",0.8400000000000001,0.5,0.3400000000000001,True,0.003194288397207856,0,0,nan
advanced_random_init_dad,4,36,"[23, 28, 24]","[3.075712226538628, 3.219638130641161, 2.054284668261511]",0.9,0.4,0.5,True,0.0031797252129763367,0,0,nan
advanced_random_init_dad,5,37,"[23, 28, 24]","[6.8601273534900065, 7.017960158229357, 2.425859248045957]",0.6599999999999999,0.25,0.4099999999999999,True,0.0031690818257629873,0,0,nan
advanced_random_init_dad,6,38,"[23, 28, 24]","[3.584100989277073, 3.6103610977814804, 3.012532604296556]",0.9400000000000001,0.6,0.3400000000000001,True,0.0031827361788600685,0,0,nan
advanced_random_init_dad,7,39,"[23, 28, 24]","[5.081065275234404, 5.2424759374047545, 6.632309663156939]",1.0,0.6,0.4,True,0.0032216412015259265,0,0,nan
advanced_random_init_dad,8,40,"[23, 28, 24]","[6.430302276472246, 6.6427387849032025, 2.626412656471054]",0.6599999999999999,0.1,0.5599999999999999,True,0.003216571547091007,0,0,nan
advanced_random_init_dad,9,41,"[23, 28, 24]","[7.602577666706221, 7.92797406263382, 2.6245614507960124]",0.8,0.35,0.45000000000000007,True,0.003178945556282997,0,0,nan
advanced_random_init_dad,10,42,"[23, 28, 24]","[3.56887433112042, 3.829493506204774, 5.056169519480743]",0.8400000000000001,0.15,0.6900000000000001,True,0.0031922262161970137,0,0,nan
advanced_random_init_dad,11,43,"[23, 28, 24]","[3.3027548773596513, 3.542387069808799, 3.5269800874806725]",0.8,0.1,0.7000000000000001,True,0.0031738206278532745,0,0,nan
advanced_random_init_dad,12,44,"[23, 28, 24]","[3.9097386058007597, 3.961934522821124, 2.488603981324183]",0.8800000000000001,0.6,0.28000000000000014,True,0.0032423978205770253,0,0,nan
advanced_random_init_dad,13,45,"[23, 28, 24]","[3.5323270096826036, 3.587663736749828, 2.4507882316235934]",0.8400000000000001,0.45,0.39000000000000007,True,0.0035703065805137157,0,0,nan
advanced_random_init_dad,14,46,"[23, 28, 24]","[5.1600437478377605, 5.188338616239832, 3.2956701825771706]",0.9,0.3,0.6000000000000001,True,0.0035827850457280873,0,0,nan
advanced_random_init_dad,15,47,"[23, 28, 24]","[3.5012020787343188, 3.6667973188805285, 2.4903834741700117]",0.8,0.2,0.6000000000000001,True,0.0035424565896391867,0,0,nan
advanced_random_init_dad,0,48,"[23, 28, 24]","[3.2436054631963067, 3.2841090234184396, 4.313434337202013]",0.8400000000000001,0.1,0.7400000000000001,True,0.003780978079885244,0,0,nan
advanced_random_init_dad,1,49,"[23, 28, 24]","[4.659755635307423, 4.898186288343774, 7.136601969322762]",0.8200000000000001,0.1,0.7200000000000001,True,0.003212552471086383,0,0,nan
advanced_random_init_dad,2,50,"[23, 28, 24]","[3.660025333449809, 3.8970330666358537, 4.480629467148626]",0.8600000000000001,0.3,0.56,True,0.0032479729503393172,0,0,nan
